""
2. It would be a spray bottle that sprays a fine mist of the powder.
3. It would be a device with a battery-powered motor that would rotate a brush or pad to evenly disperse the powder. 
4. A handheld device with a built-in fan that blows the powdered substance over the surface.
5. A hand-held device that vibrates at high frequency and disperses the powder in tiny droplets.
6. It would be a hand-held device with an atomizer that disperses the powder in a cloud of tiny particles.
"7. A wide container with a spring-loaded flip-top lid, and a soft fabric pad inside that you could press against the surface to release the powder."
8. A hand-held device with a squeeze bulb attached to it that you could use to pump the powder out.
9. A hand-held device with a turbine fan that could be used to blow the powder onto the surface.
"10. It would be a device that used centrifugal force to spin the powder in a cup, and then you could turn the cup upside down and the powder would disperse onto the surface. "
11. It would be a hand-held device with a motorized rotating brush that could be used to disperse the powder.
"12. A device with a ""puff"" nozzle that when pressed, would blow the powdered substance onto the surface."
13. A hand-held device with a fan-like device attached to it that would blow the powder onto the surface.
"14. It would be a hand-held device with a hinge which would open and close, releasing the powdered substance onto the surface."
"15. A hand-held device with a modified paintbrush that could be used to ""paint"" the powdered substance onto the surface. "
16. A device with a built-in funnel that could be used to pour the powdered substance onto the surface. 
17. A hand-held device with a built-in sifting device that would evenly disperse the powder onto the surface.
18. A device that has a fan-like device at the top that can be used to blow the powder onto the surface.
19. A handheld device with a cylindrical chamber that operates like a vacuum cleaner and draws the powder onto the surface.
"20. A hand-held device with a spinning wheel at the top that when turned, would disperse the powder onto the surface. "
"21. A hose-like device that when a trigger is pulled, releases the powdered substance onto the surface."
"22. A hand-held device with a bellows that when squeezed, releases the powder onto the surface. "
"23. A hand-held device with a wheel attached to it that when spun, releases the powdered substance onto the surface."
"24. A hand-held device with a fan at the end that when turned on, would blow the powder onto the surface. "
"25. A large container with a spigot at the bottom that, when opened, releases the powdered substance onto the surface."
"26. An aerosol canister with a device attached to the end that when pressed, releases the powdered substance onto the surface."
"27. A hand-held device with a rotary wheel on it that when spun, would release the powdered substance onto the surface. "
"28. A hand-held apparatus with a small brush attached to it that when moved across the surface, releases the powdered substance."
"29. A hand-held device with a rotary wheel that when spun, would disperse the powder into the air and onto the surface."
"30. A hand-held device with a vibrating head that when activated, releases the powdered substance onto the surface."
