""
""
1. Manual crank-style device with a screw-on nutcracker attachment
2. Clockwork-powered crank-style device with a nutcracker attachment 
3. Foot-powered pedal device with a nutcracker attachment 
4. Spring-loaded platform with a clamp-on nutcracker attachment
5. Simple lever-style device with a nutcracker attachment 
6. Gravity-powered lever-style device with a nutcracker attachment 
7. Manual rocking-style device with a nutcracker attachment 
8. Hand-cranked rocking-style device with a nutcracker attachment 
9. Human-powered rocking-style device with a nutcracker attachment 
10. Mechanical press device with a nutcracker attachment 
11. Hand-cranked press device with a nutcracker attachment 
12. Manual twisting-style device with a nutcracker attachment 
13. Hand-cranked twisting-style device with a nutcracker attachment 
14. Foot-powered twisting-style device with a nutcracker attachment 
15. Spring-loaded twisting-style device with a nutcracker attachment 
16. Hand-cranked ratcheting device with a nutcracker attachment 
17. Foot-powered ratcheting device with a nutcracker attachment 
18. Manual grinding-style device with a nutcracker attachment 
19. Hand-cranked grinding-style device with a nutcracker attachment 
20. Foot-powered grinding-style device with a nutcracker attachment 
21. Spring-loaded grinding-style device with a nutcracker attachment 
22. Lever-style device with a hammer-like attachment 
23. Gravity-powered lever-style device with a hammer-like attachment 
24. Manual rocking-style device with a hammer-like attachment 
25. Hand-cranked rocking-style device with a hammer-like attachment 
26. Human-powered rocking-style device with a hammer-like attachment 
27. Mechanical press device with a hammer-like attachment 
28. Hand-cranked press device with a hammer-like attachment 
29. Lever-style device with a nut-picker attachment 
30. Gravity-powered lever-style device with a nut-picker attachment 
31. Manual rocking-style device with a nut-picker attachment 
32. Hand-cranked rocking-style device with a nut-picker attachment 
33. Human-powered rocking-style device with a nut-picker attachment 
34. Mechanical press device with a nut-picker attachment 
35. Hand-cranked press device with a nut-picker attachment 
36. Lever-style device with a shell-removal claw attachment 
37. Gravity-powered lever-style device with a shell-removal claw attachment 
38. Manual rocking-style device with a shell-removal claw attachment 
39. Hand-cranked rocking-style device with a shell-removal claw attachment 
40. Human-powered rocking-style device with a shell-removal claw attachment 
41. Mechanical press device with a shell-removal claw attachment 
42. Hand-cranked press device with a shell-removal claw attachment 
43. Lever-style device with a nut-flinging attachment 
44. Gravity-powered lever-style device with a nut-flinging attachment 
45. Manual rocking-style device with a nut-flinging attachment 
46. Hand-cranked rocking-style device with a nut-flinging attachment 
47. Human-powered rocking-style device with a nut-flinging attachment 
48. Mechanical press device with a nut-flinging attachment 
49. Hand-cranked press device with a nut-flinging attachment 
50. Lever-style device with a scissor-like attachment 
51. Gravity-powered lever-style device with a scissor-like attachment 
52. Manual rocking-style device with a scissor-like attachment 
53. Hand-cranked rocking-style device with a scissor-like attachment 
54. Human-powered rocking-style device with a scissor-like attachment 
55. Mechanical press device with a scissor-like attachment 
56. Hand-cranked press device with a scissor-like attachment 
57. Lever-style device with a cone-shaped attachment 
58. Gravity-powered lever-style device with a cone-shaped attachment 
59. Manual rocking-style device with a cone-shaped attachment 
60. Hand-cranked rocking-style device with a cone-shaped attachment 
61. Human-powered rocking-style device with a cone-shaped attachment 
62. Mechanical press device with a cone-shaped attachment 
63. Hand-cranked press device with a cone-shaped attachment 
64. Lever-style device with a rotating blade attachment 
65. Gravity-powered lever-style device with a rotating blade attachment 
66. Manual rocking-style device with a rotating blade attachment 
67. Hand-cranked rocking-style device with a rotating blade attachment 
68. Human-powered rocking-style device with a rotating blade attachment 
69. Mechanical press device with a rotating blade attachment 
70. Hand-cranked press device with a rotating blade attachment 
71. Lever-style device with a spike-like attachment 
72. Gravity-powered lever-style device with a spike-like attachment 
73. Manual rocking-style device with a spike-like attachment 
74. Hand-cranked rocking-style device with a spike-like attachment 
75. Human-powered rocking-style device with a spike-like attachment 
76. Mechanical press device with a spike-like attachment 
77. Hand-cranked press device with a spike-like attachment 
78. Lever-style device with a prying attachment 
79. Gravity-powered lever-style device with a prying attachment 
80. Manual rocking-style device with a prying attachment 
81. Hand-cranked rocking-style device with a prying attachment 
82. Human-powered rocking-style device with a prying attachment 
83. Mechanical press device with a prying attachment 
84. Hand-cranked press device with a prying attachment 
85. Manual lever-style device with suction cup attachment 
86. Gravity-powered lever-style device with suction cup attachment 
87. Manual rocking-style device with suction cup attachment 
88. Hand-cranked rocking-style device with suction cup attachment 
89. Human-powered rocking-style device with suction cup attachment 
90. Mechanical press device with suction cup attachment 
91. Hand-cranked press device with suction cup attachment 
92. Lever-style device with a knife-like attachment 
93. Gravity-powered lever-style device with a knife-like attachment 
94. Manual rocking-style device with a knife-like attachment 
95. Hand-cranked rocking-style device with a knife-like attachment 
96. Human-powered rocking-style device with a knife-like attachment 
97. Mechanical press device with a knife-like attachment 
98. Hand-cranked press device with a knife-like attachment 
99. Lever-style device with a peeling-type attachment 
100. Gravity-powered lever-style device with a peeling-type attachment
